city_id,cohort,manifest_status,city_type,country,inclusion_rationale
nl-utrecht,"Western, Northern, and Southern Europe",provisional,secondary,Netherlands,Historic canal city with cycling culture and university
sa-dammam,Middle East,provisional,secondary,Saudi Arabia,Eastern Province oil hub with Gulf coast industrial economy
sa-medina,Middle East,provisional,secondary,Saudi Arabia,Islamic holy city with pilgrimage economy and development
sa-tabuk,Middle East,provisional,secondary,Saudi Arabia,Northwestern gateway to NEOM and Red Sea development
pl-warsaw,Eastern Europe and Eurasia,provisional,primary,Poland,National capital with booming tech and financial services
pl-wroclaw,Eastern Europe and Eurasia,provisional,secondary,Poland,Lower Silesian tech hub with vibrant student culture
pl-poznan,Eastern Europe and Eurasia,provisional,secondary,Poland,Western Polish trade fair city with strong business sector
ch-geneva,"Western, Northern, and Southern Europe",provisional,primary,Switzerland,International diplomacy capital with UN headquarters
ch-basel,"Western, Northern, and Southern Europe",provisional,secondary,Switzerland,Tri-border pharmaceutical capital with Art Basel heritage
ch-bern,"Western, Northern, and Southern Europe",provisional,secondary,Switzerland,Federal capital with medieval old town UNESCO site
ch-lausanne,"Western, Northern, and Southern Europe",provisional,secondary,Switzerland,Olympic capital with EPFL university on Lake Geneva
tw-tainan,East Asia,provisional,secondary,Taiwan,Historic first capital with temple culture and food heritage
tw-hsinchu,East Asia,provisional,secondary,Taiwan,Semiconductor capital and TSMC headquarters city
ar-rosario,Latin America,provisional,secondary,Argentina,Parana River port city with agricultural trade economy
ar-mendoza,Latin America,provisional,secondary,Argentina,Wine capital at Andean foothills with outdoor lifestyle
ar-bariloche,Latin America,provisional,secondary,Argentina,Patagonian lake district resort with alpine character
be-brussels,"Western, Northern, and Southern Europe",provisional,primary,Belgium,EU capital with international institutions
be-ghent,"Western, Northern, and Southern Europe",provisional,secondary,Belgium,Flemish university city with medieval heritage and food scene
be-bruges,"Western, Northern, and Southern Europe",provisional,secondary,Belgium,Canal city with preserved medieval center and tourism
be-leuven,"Western, Northern, and Southern Europe",provisional,secondary,Belgium,University town with KU Leuven research and beer culture
se-stockholm,"Western, Northern, and Southern Europe",provisional,primary,Sweden,Nordic capital with tech unicorn ecosystem
se-malmo,"Western, Northern, and Southern Europe",provisional,secondary,Sweden,Oresund bridge city with Danish connectivity and diversity
se-uppsala,"Western, Northern, and Southern Europe",provisional,secondary,Sweden,Historic university city with biotech and life sciences
se-lund,"Western, Northern, and Southern Europe",provisional,secondary,Sweden,Southern Swedish research city paired with ESS and MAX IV
ie-dublin,"Western, Northern, and Southern Europe",provisional,primary,Ireland,European tech headquarters hub with major multinationals
ie-galway,"Western, Northern, and Southern Europe",provisional,secondary,Ireland,Atlantic coast city with arts festival and medtech
ie-limerick,"Western, Northern, and Southern Europe",provisional,secondary,Ireland,Shannon region city with university and manufacturing
ie-waterford,"Western, Northern, and Southern Europe",provisional,secondary,Ireland,Southeast Irish port city with Viking heritage and pharma
at-linz,"Western, Northern, and Southern Europe",provisional,secondary,Austria,Danube industrial city with Ars Electronica digital arts
at-salzburg,"Western, Northern, and Southern Europe",provisional,secondary,Austria,Mozart birthplace with festival culture and Alpine tourism
at-innsbruck,"Western, Northern, and Southern Europe",provisional,secondary,Austria,Alpine university city with winter sports and research
no-oslo,"Western, Northern, and Southern Europe",provisional,primary,Norway,National capital with fjord setting and green transition
no-trondheim,"Western, Northern, and Southern Europe",provisional,secondary,Norway,NTNU university city with tech startup ecosystem
no-stavanger,"Western, Northern, and Southern Europe",provisional,secondary,Norway,Oil capital transitioning to energy innovation hub
no-tromso,"Western, Northern, and Southern Europe",provisional,secondary,Norway,Arctic university city and Northern Lights gateway
il-jerusalem,Middle East,provisional,primary,Israel,Holy city with religious significance and government seat
il-beer-sheva,Middle East,provisional,secondary,Israel,Negev capital with Ben-Gurion University and cyber hub
il-herzliya,Middle East,provisional,secondary,Israel,Coastal tech corridor with startup concentration
th-khon-kaen,Southeast Asia,provisional,secondary,Thailand,Isan regional hub with university and smart city initiative
th-pattaya,Southeast Asia,provisional,secondary,Thailand,Eastern Seaboard resort with EEC investment corridor
ng-lagos,Africa,provisional,primary,Nigeria,West African megacity and continental tech startup leader
ng-abuja,Africa,provisional,primary,Nigeria,Planned national capital with government and diplomatic economy
ng-port-harcourt,Africa,provisional,secondary,Nigeria,Niger Delta oil city with industrial port economy
ng-ibadan,Africa,provisional,secondary,Nigeria,Yoruba intellectual center with oldest Nigerian university
ng-kano,Africa,provisional,secondary,Nigeria,Northern Nigerian commercial capital with trade heritage
ae-sharjah,Middle East,provisional,secondary,UAE,Cultural capital of UAE with museum district and university
ae-ajman,Middle East,provisional,secondary,UAE,Compact emirate with affordable living near Dubai
ae-ras-al-khaimah,Middle East,provisional,secondary,UAE,Northern emirate with adventure tourism and manufacturing
dk-aarhus,"Western, Northern, and Southern Europe",provisional,secondary,Denmark,Jutland cultural city with university and European Capital of Culture
dk-odense,"Western, Northern, and Southern Europe",provisional,secondary,Denmark,Funen island city with robotics cluster and Andersen heritage
dk-aalborg,"Western, Northern, and Southern Europe",provisional,secondary,Denmark,Northern Jutland university city with waterfront transformation
dk-roskilde,"Western, Northern, and Southern Europe",provisional,secondary,Denmark,Viking heritage city with festival culture near Copenhagen
ph-manila,Southeast Asia,provisional,primary,Philippines,National capital region with massive services economy
ph-davao,Southeast Asia,provisional,secondary,Philippines,Mindanao hub with agricultural trade and safety reputation
ph-iloilo,Southeast Asia,provisional,secondary,Philippines,Visayan emerging city with BPO growth and heritage
ph-clark,Southeast Asia,provisional,secondary,Philippines,Former air base transformed into special economic zone
bd-khulna,South Asia,provisional,secondary,Bangladesh,Southwestern division capital near Sundarbans mangrove
bd-sylhet,South Asia,provisional,secondary,Bangladesh,Northeastern city with tea heritage and remittance economy
bd-rajshahi,South Asia,provisional,secondary,Bangladesh,Western university city with mango heritage and silk trade
vn-ho-chi-minh-city,Southeast Asia,provisional,primary,Vietnam,Southern economic engine with rapid FDI and startup growth
vn-hanoi,Southeast Asia,provisional,primary,Vietnam,National capital with thousand-year heritage
vn-hai-phong,Southeast Asia,provisional,secondary,Vietnam,Northern port city with industrial zones and seafood heritage
vn-can-tho,Southeast Asia,provisional,secondary,Vietnam,Mekong Delta capital with agricultural trade and river culture
my-johor-bahru,Southeast Asia,provisional,secondary,Malaysia,Southern gateway city connected to Singapore via causeway
co-cali,Latin America,provisional,secondary,Colombia,Pacific salsa capital with sugar industry and cultural vibrancy
co-cartagena,Latin America,provisional,secondary,Colombia,Caribbean walled city with tourism and port economy
co-barranquilla,Latin America,provisional,secondary,Colombia,Caribbean port city with carnival culture and industrial base
hk-hong-kong,East Asia,provisional,primary,Hong Kong,Global financial hub with world-class transit density
za-durban,Africa,provisional,primary,South Africa,KwaZulu-Natal port city with Indian Ocean trade
za-pretoria,Africa,provisional,primary,South Africa,Administrative capital with government and research institutions
za-stellenbosch,Africa,provisional,secondary,South Africa,Cape Winelands university town with innovation and agriculture
ro-cluj-napoca,Eastern Europe and Eurasia,provisional,secondary,Romania,Transylvanian tech hub with strong IT and universities
ro-timisoara,Eastern Europe and Eurasia,provisional,secondary,Romania,Western Romanian multicultural city and European Capital of Culture
ro-iasi,Eastern Europe and Eurasia,provisional,secondary,Romania,Moldavian cultural capital with oldest Romanian university
ro-brasov,Eastern Europe and Eurasia,provisional,secondary,Romania,Transylvanian mountain city with tourism and automotive
eg-cairo,Middle East,provisional,primary,Egypt,Largest Arab city with ancient heritage and massive metro area
eg-giza,Middle East,provisional,primary,Egypt,Pyramid city integrated into Greater Cairo metropolitan area
eg-sharm-el-sheikh,Middle East,provisional,secondary,Egypt,Red Sea resort city with diving tourism and COP host
eg-new-cairo,Middle East,provisional,secondary,Egypt,Eastern expansion district with modern development and tech
cz-prague,Eastern Europe and Eurasia,provisional,primary,Czechia,Central European gem with tourism and growing tech scene
cz-ostrava,Eastern Europe and Eurasia,provisional,secondary,Czechia,Moravian industrial city in post-mining transition
cz-plzen,Eastern Europe and Eurasia,provisional,secondary,Czechia,Western Bohemian city with brewery heritage and engineering
cz-olomouc,Eastern Europe and Eurasia,provisional,secondary,Czechia,Moravian university city with baroque heritage
cl-concepcion,Latin America,provisional,secondary,Chile,Southern Chilean university city with industrial port
cl-vina-del-mar,Latin America,provisional,secondary,Chile,Pacific coast resort city adjacent to Valparaiso
cl-temuco,Latin America,provisional,secondary,Chile,Southern Chilean city with Mapuche heritage and agriculture
pt-lisbon,"Western, Northern, and Southern Europe",provisional,primary,Portugal,National capital with booming tech scene and Atlantic heritage
pt-coimbra,"Western, Northern, and Southern Europe",provisional,secondary,Portugal,Historic university city with oldest Portuguese university
pt-faro,"Western, Northern, and Southern Europe",provisional,secondary,Portugal,Algarve gateway city with tourism and coastal livability
pk-faisalabad,South Asia,provisional,secondary,Pakistan,Textile capital with industrial manufacturing base
pk-peshawar,South Asia,provisional,secondary,Pakistan,Historic Khyber gateway city with trade and cultural heritage
fi-tampere,"Western, Northern, and Southern Europe",provisional,secondary,Finland,Inland city with strong tech sector and industrial heritage
fi-turku,"Western, Northern, and Southern Europe",provisional,secondary,Finland,Southwest port city with maritime and biotech sectors
fi-oulu,"Western, Northern, and Southern Europe",provisional,secondary,Finland,Northern tech city with wireless innovation cluster
fi-espoo,"Western, Northern, and Southern Europe",provisional,secondary,Finland,Helsinki-adjacent tech hub home to Aalto University
pe-cusco,Latin America,provisional,secondary,Peru,Andean heritage city and gateway to Machu Picchu tourism
pe-trujillo,Latin America,provisional,secondary,Peru,Northern coastal city with pre-Inca archaeological heritage
pe-piura,Latin America,provisional,secondary,Peru,Northern agricultural hub near the Ecuadorian border
nz-queenstown,Oceania,provisional,secondary,New Zealand,Alpine resort town with adventure tourism and lifestyle
nz-hamilton,Oceania,provisional,secondary,New Zealand,Waikato regional hub with agriculture and university
